prefecture,type,year,land_price,ping_unit_price,change
滋賀県,基準地価平均,2009年［平成21年］,5万7845円/m2,19万1226円/坪,-2.03％
滋賀県,基準地価平均,2010年［平成22年］,5万5537円/m2,18万3593円/坪,-3.99％
滋賀県,基準地価平均,2011年［平成23年］,5万4190円/m2,17万9141円/坪,-2.43％
宮城県,公示地価平均,2013年［平成25年］,8万6633円/m2,28万6391円/坪,-1.80％
宮城県,公示地価平均,2014年［平成26年］,8万8883円/m2,29万3829円/坪,+2.60％
宮城県,公示地価平均,2015年［平成27年］,9万1903円/m2,30万3812円/坪,+3.40％
宮城県,公示地価平均,2016年［平成28年］,9万6235円/m2,31万8132円/坪,+4.71％
宮城県,公示地価平均,2017年［平成29年］,10万4930円/m2,34万6876円/坪,+9.04％
宮城県,基準地価平均,1983年［昭和58年］,7万5660円/m2,25万0115円/坪,
宮城県,基準地価平均,1984年［昭和59年］,7万7291円/m2,25万5510円/坪,+2.16％
宮城県,基準地価平均,1985年［昭和60年］,10万7901円/m2,35万6699円/坪,+39.60％
滋賀県,基準地価平均,2012年［平成24年］,5万3665円/m2,17万7408円/坪,-0.97％
滋賀県,基準地価平均,2013年［平成25年］,5万3457円/m2,17万6718円/坪,-0.39％
滋賀県,基準地価平均,2014年［平成26年］,5万3950円/m2,17万8349円/坪,+0.92％
滋賀県,基準地価平均,2015年［平成27年］,5万4447円/m2,17万9991円/坪,+0.92％
滋賀県,基準地価平均,2016年［平成28年］,5万4580円/m2,18万0431円/坪,+0.24％
宮城県,基準地価平均,1986年［昭和61年］,11万7188円/m2,38万7401円/坪,+8.61％
宮城県,基準地価平均,1987年［昭和62年］,14万6377円/m2,48万3891円/坪,+24.91％
宮城県,基準地価平均,1988年［昭和63年］,19万6303円/m2,64万8938円/坪,+34.11％
宮城県,基準地価平均,1989年［平成元年］,28万3427円/m2,93万6951円/坪,+44.38％
宮城県,基準地価平均,1990年［平成2年］,36万5651円/m2,120万8766円/坪,+29.01％
宮城県,基準地価平均,1991年［平成3年］,38万5950円/m2,127万5870円/坪,+5.55％
宮城県,基準地価平均,1992年［平成4年］,35万0806円/m2,115万9689円/坪,-9.11％
宮城県,基準地価平均,1993年［平成5年］,27万2690円/m2,90万1457円/坪,-22.27％
宮城県,基準地価平均,1994年［平成6年］,22万6547円/m2,74万8916円/坪,-16.92％
宮城県,基準地価平均,1995年［平成7年］,18万6701円/m2,61万7194円/坪,-17.59％
宮城県,基準地価平均,1996年［平成8年］,15万2031円/m2,50万2583円/坪,-18.57％
宮城県,基準地価平均,1997年［平成9年］,13万3902円/m2,44万2652円/坪,-11.92％
宮城県,基準地価平均,1998年［平成10年］,12万9992円/m2,42万9727円/坪,-2.92％
宮城県,基準地価平均,1999年［平成11年］,11万6380円/m2,38万4728円/坪,-10.47％
宮城県,基準地価平均,2000年［平成12年］,10万7143円/m2,35万4191円/坪,-7.94％
宮城県,基準地価平均,2001年［平成13年］,9万8676円/m2,32万6202円/坪,-7.90％
宮城県,基準地価平均,2002年［平成14年］,9万0114円/m2,29万7897円/坪,-8.68％
宮城県,基準地価平均,2003年［平成15年］,8万0974円/m2,26万7683円/坪,-10.14％
宮城県,基準地価平均,2004年［平成16年］,7万3456円/m2,24万2830円/坪,-9.28％
宮城県,基準地価平均,2005年［平成17年］,6万8979円/m2,22万8032円/坪,-6.09％
宮城県,基準地価平均,2006年［平成18年］,7万0238円/m2,23万2194円/坪,+1.83％
宮城県,基準地価平均,2007年［平成19年］,7万9495円/m2,26万2796円/坪,+13.18％
宮城県,基準地価平均,2008年［平成20年］,8万5872円/m2,28万3877円/坪,+8.02％
宮城県,基準地価平均,2009年［平成21年］,7万5542円/m2,24万9727円/坪,-12.03％
宮城県,基準地価平均,2010年［平成22年］,7万1348円/m2,23万5861円/坪,-5.55％
宮城県,基準地価平均,2011年［平成23年］,6万6143円/m2,21万8657円/坪,-7.29％
宮城県,基準地価平均,2012年［平成24年］,6万2393円/m2,20万6260円/坪,-5.67％
宮城県,基準地価平均,2013年［平成25年］,6万1559円/m2,20万3502円/坪,-1.34％
宮城県,基準地価平均,2014年［平成26年］,6万4076円/m2,21万1822円/坪,+4.09％
宮城県,基準地価平均,2015年［平成27年］,6万7816円/m2,22万4187円/坪,+5.84％
宮城県,基準地価平均,2016年［平成28年］,7万1491円/m2,23万6333円/坪,+5.42％
静岡県,総平均,1983年［昭和58年］,11万7446円/m2,38万8253円/坪,
静岡県,総平均,1984年［昭和59年］,12万0593円/m2,39万8655円/坪,+2.68％
静岡県,総平均,1985年［昭和60年］,12万0371円/m2,39万7921円/坪,-0.18％
静岡県,総平均,1986年［昭和61年］,13万1240円/m2,43万3852円/坪,+9.03％
静岡県,総平均,1987年［昭和62年］,14万0179円/m2,46万3401円/坪,+6.81％
静岡県,総平均,1988年［昭和63年］,16万9273円/m2,55万9582円/坪,+20.76％
静岡県,総平均,1989年［平成元年］,25万2649円/m2,83万5203円/坪,+49.25％
静岡県,総平均,1990年［平成2年］,32万6048円/m2,107万7845円/坪,+29.05％
静岡県,総平均,1991年［平成3年］,34万7095円/m2,114万7422円/坪,+6.46％
静岡県,総平均,1992年［平成4年］,32万5504円/m2,107万6048円/坪,-6.22％
静岡県,総平均,1993年［平成5年］,27万4124円/m2,90万6196円/坪,-15.78％
静岡県,総平均,1994年［平成6年］,22万9544円/m2,75万8826円/坪,-16.26％
静岡県,総平均,1995年［平成7年］,20万7151円/m2,68万4799円/坪,-9.76％
静岡県,総平均,1996年［平成8年］,18万7082円/m2,61万8453円/坪,-9.69％
静岡県,総平均,1997年［平成9年］,17万4644円/m2,57万7336円/坪,-6.65％
静岡県,総平均,1998年［平成10年］,16万2799円/m2,53万8180円/坪,-6.78％
静岡県,総平均,1999年［平成11年］,14万8311円/m2,49万0287円/坪,-8.90％
静岡県,総平均,2000年［平成12年］,13万6901円/m2,45万2566円/坪,-7.69％
静岡県,総平均,2001年［平成13年］,12万7577円/m2,42万1743円/坪,-6.81％
静岡県,総平均,2002年［平成14年］,11万6560円/m2,38万5325円/坪,-8.64％
静岡県,総平均,2003年［平成15年］,10万5241円/m2,34万7905円/坪,-9.71％
静岡県,総平均,2004年［平成16年］,9万8472円/m2,32万5527円/坪,-6.43％
静岡県,総平均,2005年［平成17年］,9万5260円/m2,31万4909円/坪,-3.26％
静岡県,総平均,2006年［平成18年］,9万3337円/m2,30万8552円/坪,-2.02％
静岡県,総平均,2007年［平成19年］,9万4439円/m2,31万2195円/坪,+1.18％
静岡県,総平均,2008年［平成20年］,9万7863円/m2,32万3514円/坪,+3.63％
静岡県,総平均,2009年［平成21年］,9万5632円/m2,31万6140円/坪,-2.28％
静岡県,総平均,2010年［平成22年］,9万3188円/m2,30万8061円/坪,-2.56％
静岡県,総平均,2011年［平成23年］,9万1337円/m2,30万1941円/坪,-1.99％
静岡県,総平均,2012年［平成24年］,9万0070円/m2,29万7752円/坪,-1.39％
静岡県,総平均,2013年［平成25年］,8万8977円/m2,29万4141円/坪,-1.21％
静岡県,総平均,2014年［平成26年］,8万8338円/m2,29万2029円/坪,-0.72％
静岡県,総平均,2015年［平成27年］,8万7806円/m2,29万0269円/坪,-0.60％
静岡県,総平均,2016年［平成28年］,8万6853円/m2,28万7118円/坪,-1.09％
静岡県,公示地価平均,1983年［昭和58年］,13万9307円/m2,46万0519円/坪,
静岡県,公示地価平均,1984年［昭和59年］,13万9402円/m2,46万0835円/坪,+0.07％
静岡県,公示地価平均,1985年［昭和60年］,13万5399円/m2,44万7600円/坪,-2.87％
静岡県,公示地価平均,1986年［昭和61年］,15万0584円/m2,49万7800円/坪,+11.22％
静岡県,公示地価平均,1987年［昭和62年］,15万7421円/m2,52万0402円/坪,+4.54％
静岡県,公示地価平均,1988年［昭和63年］,19万8040円/m2,65万4678円/坪,+25.80％
静岡県,公示地価平均,1989年［平成元年］,25万0423円/m2,82万7846円/坪,+26.45％
静岡県,公示地価平均,1990年［平成2年］,32万7182円/m2,108万1594円/坪,+30.65％
静岡県,公示地価平均,1991年［平成3年］,37万2860円/m2,123万2597円/坪,+13.96％
静岡県,公示地価平均,1992年［平成4年］,36万3909円/m2,120万3006円/坪,-2.40％
静岡県,公示地価平均,1993年［平成5年］,32万0829円/m2,106万0592円/坪,-11.84％
静岡県,公示地価平均,1994年［平成6年］,24万7410円/m2,81万7884円/坪,-22.88％
静岡県,公示地価平均,1995年［平成7年］,21万9354円/m2,72万5138円/坪,-11.34％
静岡県,公示地価平均,1996年［平成8年］,19万6376円/m2,64万9177円/坪,-10.48％
静岡県,公示地価平均,1997年［平成9年］,18万2951円/m2,60万4799円/坪,-6.84％
静岡県,公示地価平均,1998年［平成10年］,17万1863円/m2,56万8143円/坪,-6.06％
静岡県,公示地価平均,1999年［平成11年］,15万6783円/m2,51万8292円/坪,-8.77％
静岡県,公示地価平均,2000年［平成12年］,14万4142円/m2,47万6505円/坪,-8.06％
静岡県,公示地価平均,2001年［平成13年］,13万3890円/m2,44万2611円/坪,-7.11％
静岡県,公示地価平均,2002年［平成14年］,12万2737円/m2,40万5742円/坪,-8.33％
静岡県,公示地価平均,2003年［平成15年］,11万0321円/m2,36万4698円/坪,-10.12％
静岡県,公示地価平均,2004年［平成16年］,10万2666円/m2,33万9393円/坪,-6.94％
静岡県,公示地価平均,2005年［平成17年］,9万8320円/m2,32万5025円/坪,-4.23％
静岡県,公示地価平均,2006年［平成18年］,9万5300円/m2,31万5043円/坪,-3.07％
静岡県,公示地価平均,2007年［平成19年］,9万5407円/m2,31万5395円/坪,+0.11％
静岡県,公示地価平均,2008年［平成20年］,9万9555円/m2,32万9109円/坪,+4.35％
千葉県,総平均,1983年［昭和58年］,11万7459円/m2,38万8295円/坪,
静岡県,公示地価平均,2009年［平成21年］,9万8741円/m2,32万6419円/坪,-0.82％
静岡県,公示地価平均,2010年［平成22年］,9万6365円/m2,31万8564円/坪,-2.41％
静岡県,公示地価平均,2011年［平成23年］,9万4916円/m2,31万3773円/坪,-1.50％
静岡県,公示地価平均,2012年［平成24年］,9万2616円/m2,30万6169円/坪,-2.42％
静岡県,公示地価平均,2013年［平成25年］,9万1478円/m2,30万2407円/坪,-1.23％
静岡県,公示地価平均,2014年［平成26年］,9万1094円/m2,30万1139円/坪,-0.42％
静岡県,公示地価平均,2015年［平成27年］,9万0486円/m2,29万9129円/坪,-0.67％
静岡県,公示地価平均,2016年［平成28年］,8万9274円/m2,29万5121円/坪,-1.34％
静岡県,公示地価平均,2017年［平成29年］,8万9035円/m2,29万4330円/坪,-0.27％
千葉県,総平均,1984年［昭和59年］,11万9739円/m2,39万5831円/坪,+1.94％
千葉県,総平均,1985年［昭和60年］,12万5941円/m2,41万6336円/坪,+5.18％
千葉県,総平均,1986年［昭和61年］,13万2074円/m2,43万6611円/坪,+4.87％
千葉県,総平均,1987年［昭和62年］,21万0160円/m2,69万4744円/坪,+59.12％
千葉県,総平均,1988年［昭和63年］,37万1564円/m2,122万8313円/坪,+76.80％
千葉県,総平均,1989年［平成元年］,42万5820円/m2,140万7671円/坪,+14.60％
千葉県,総平均,1990年［平成2年］,49万7830円/m2,164万5720円/坪,+16.91％
静岡県,基準地価平均,1983年［昭和58年］,10万2265円/m2,33万8069円/坪,
静岡県,基準地価平均,1984年［昭和59年］,10万7123円/m2,35万4126円/坪,+4.75％
静岡県,基準地価平均,1985年［昭和60年］,10万9010円/m2,36万0365円/坪,+1.76％
静岡県,基準地価平均,1986年［昭和61年］,11万6517円/m2,38万5180円/坪,+6.89％
静岡県,基準地価平均,1987年［昭和62年］,12万6328円/m2,41万7614円/坪,+8.42％
静岡県,基準地価平均,1988年［昭和63年］,14万5627円/m2,48万1414円/坪,+15.28％
福岡県,総平均,1983年［昭和58年］,7万6491円/m2,25万2865円/坪,
広島県,総平均,1983年［昭和58年］,11万9521円/m2,39万5110円/坪,
埼玉県,総平均,1983年［昭和58年］,14万7977円/m2,48万9180円/坪,
千葉県,総平均,1991年［平成3年］,52万8509円/m2,174万7137円/坪,+6.16％
千葉県,総平均,1992年［平成4年］,43万2299円/m2,142万9089円/坪,-18.20％
千葉県,総平均,1993年［平成5年］,34万1358円/m2,112万8457円/坪,-21.04％
千葉県,総平均,1994年［平成6年］,29万5185円/m2,97万5820円/坪,-13.53％
千葉県,総平均,1995年［平成7年］,26万2203円/m2,86万6788円/坪,-11.17％
千葉県,総平均,1996年［平成8年］,22万7068円/m2,75万0638円/坪,-13.40％
静岡県,基準地価平均,1989年［平成元年］,25万4288円/m2,84万0622円/坪,+74.62％
静岡県,基準地価平均,1990年［平成2年］,32万5256円/m2,107万5226円/坪,+27.91％
静岡県,基準地価平均,1991年［平成3年］,32万9264円/m2,108万8478円/坪,+1.23％
静岡県,基準地価平均,1992年［平成4年］,29万7826円/m2,98万4551円/坪,-9.55％
静岡県,基準地価平均,1993年［平成5年］,23万9538円/m2,79万1862円/坪,-19.57％
静岡県,基準地価平均,1994年［平成6年］,21万2325円/m2,70万1900円/坪,-11.36％
静岡県,基準地価平均,1995年［平成7年］,19万4101円/m2,64万1657円/坪,-8.58％
福岡県,総平均,1984年［昭和59年］,7万7103円/m2,25万4889円/坪,+0.80％
福岡県,総平均,1985年［昭和60年］,7万7373円/m2,25万5778円/坪,+0.35％
福岡県,総平均,1986年［昭和61年］,9万5111円/m2,31万4417円/坪,+22.93％
福岡県,総平均,1987年［昭和62年］,15万4329円/m2,51万0181円/坪,+62.26％
福岡県,総平均,1988年［昭和63年］,21万4994円/m2,71万0724円/坪,+39.31％
福岡県,総平均,1989年［平成元年］,25万8466円/m2,85万4434円/坪,+20.22％
福岡県,総平均,1990年［平成2年］,31万5593円/m2,104万3284円/坪,+22.10％
広島県,総平均,1984年［昭和59年］,11万5600円/m2,38万2151円/坪,-3.28％
広島県,総平均,1985年［昭和60年］,11万7822円/m2,38万9495円/坪,+1.92％
広島県,総平均,1986年［昭和61年］,15万2089円/m2,50万2774円/坪,+29.08％
広島県,総平均,1987年［昭和62年］,17万1598円/m2,56万7268円/坪,+12.83％
広島県,総平均,1988年［昭和63年］,20万2097円/m2,66万8090円/坪,+17.77％
広島県,総平均,1989年［平成元年］,28万3707円/m2,93万7875円/坪,+40.38％
広島県,総平均,1990年［平成2年］,34万5668円/m2,114万2706円/坪,+21.84％
広島県,総平均,1991年［平成3年］,38万6372円/m2,127万7262円/坪,+11.78％
埼玉県,総平均,1984年［昭和59年］,15万0220円/m2,49万6596円/坪,+1.52％
埼玉県,総平均,1985年［昭和60年］,15万4177円/m2,50万9677円/坪,+2.63％
埼玉県,総平均,1986年［昭和61年］,16万7210円/m2,55万2762円/坪,+8.45％
埼玉県,総平均,1987年［昭和62年］,21万2852円/m2,70万3645円/坪,+27.30％
埼玉県,総平均,1988年［昭和63年］,34万9693円/m2,115万6010円/坪,+64.29％
埼玉県,総平均,1989年［平成元年］,40万8063円/m2,134万8968円/坪,+16.69％
埼玉県,総平均,1990年［平成2年］,44万3891円/m2,146万7409円/坪,+8.78％
千葉県,総平均,1997年［平成9年］,21万1285円/m2,69万8462円/坪,-6.95％
千葉県,総平均,1998年［平成10年］,19万4801円/m2,64万3972円/坪,-7.80％
千葉県,総平均,1999年［平成11年］,17万3136円/m2,57万2352円/坪,-11.12％
千葉県,総平均,2000年［平成12年］,15万3580円/m2,50万7702円/坪,-11.30％
千葉県,総平均,2001年［平成13年］,13万9008円/m2,45万9533円/坪,-9.49％
千葉県,総平均,2002年［平成14年］,13万1414円/m2,43万4429円/坪,-5.46％
千葉県,総平均,2003年［平成15年］,12万0712円/m2,39万9050円/坪,-8.14％
兵庫県,総平均,1983年［昭和58年］,13万7589円/m2,45万4841円/坪,
静岡県,基準地価平均,1996年［平成8年］,17万7180円/m2,58万5719円/坪,-8.72％
静岡県,基準地価平均,1997年［平成9年］,16万5784円/m2,54万8047円/坪,-6.43％
静岡県,基準地価平均,1998年［平成10年］,15万3096円/m2,50万6104円/坪,-7.65％
静岡県,基準地価平均,1999年［平成11年］,13万9223円/m2,46万0242円/坪,-9.06％
静岡県,基準地価平均,2000年［平成12年］,12万9100円/m2,42万6777円/坪,-7.27％
静岡県,基準地価平均,2001年［平成13年］,12万1054円/m2,40万0180円/坪,-6.23％
静岡県,基準地価平均,2002年［平成14年］,11万0329円/m2,36万4725円/坪,-8.86％
福岡県,総平均,1991年［平成3年］,36万2896円/m2,119万9657円/坪,+14.99％
福岡県,総平均,1992年［平成4年］,36万8199円/m2,121万7186円/坪,+1.46％
福岡県,総平均,1993年［平成5年］,26万8590円/m2,88万7902円/坪,-27.05％
福岡県,総平均,1994年［平成6年］,22万4142円/m2,74万0966円/坪,-16.55％
福岡県,総平均,1995年［平成7年］,20万8710円/m2,68万9952円/坪,-6.88％
福岡県,総平均,1996年［平成8年］,18万4078円/m2,60万8523円/坪,-11.80％
福岡県,総平均,1997年［平成9年］,16万5682円/m2,54万7711円/坪,-9.99％
広島県,総平均,1992年［平成4年］,35万5284円/m2,117万4494円/坪,-8.05％
広島県,総平均,1993年［平成5年］,34万1218円/m2,112万7993円/坪,-3.96％
広島県,総平均,1994年［平成6年］,29万4507円/m2,97万3577円/坪,-13.69％
広島県,総平均,1995年［平成7年］,25万9540円/m2,85万7984円/坪,-11.87％
広島県,総平均,1996年［平成8年］,23万1538円/m2,76万5416円/坪,-10.79％
広島県,総平均,1997年［平成9年］,21万2634円/m2,70万2922円/坪,-8.16％
広島県,総平均,1998年［平成10年］,20万6393円/m2,68万2291円/坪,-2.94％
埼玉県,総平均,1991年［平成3年］,47万0709円/m2,155万6065円/坪,+6.04％
埼玉県,総平均,1992年［平成4年］,44万6157円/m2,147万4901円/坪,-5.22％
埼玉県,総平均,1993年［平成5年］,37万0733円/m2,122万5565円/坪,-16.91％
埼玉県,総平均,1994年［平成6年］,32万3291円/m2,106万8733円/坪,-12.80％
埼玉県,総平均,1995年［平成7年］,29万4013円/m2,97万1944円/坪,-9.06％
埼玉県,総平均,1996年［平成8年］,26万2074円/m2,86万6362円/坪,-10.86％
埼玉県,総平均,1997年［平成9年］,24万2358円/m2,80万1186円/坪,-7.52％
千葉県,総平均,2004年［平成16年］,11万3288円/m2,37万4507円/坪,-6.15％
千葉県,総平均,2005年［平成17年］,11万0121円/m2,36万4037円/坪,-2.80％
千葉県,総平均,2006年［平成18年］,11万1517円/m2,36万8651円/坪,+1.27％
千葉県,総平均,2007年［平成19年］,11万6801円/m2,38万6120円/坪,+4.74％
千葉県,総平均,2008年［平成20年］,12万1637円/m2,40万2106円/坪,+4.14％
千葉県,総平均,2009年［平成21年］,11万5085円/m2,38万0447円/坪,-5.39％
兵庫県,総平均,1984年［昭和59年］,14万1238円/m2,46万6903円/坪,+2.65％
兵庫県,総平均,1985年［昭和60年］,15万1126円/m2,49万9593円/坪,+7.00％
兵庫県,総平均,1986年［昭和61年］,15万3439円/m2,50万7239円/坪,+1.53％
兵庫県,総平均,1987年［昭和62年］,17万5535円/m2,58万0281円/坪,+14.40％
兵庫県,総平均,1988年［昭和63年］,26万1342円/m2,86万3942円/坪,+48.88％
兵庫県,総平均,1989年［平成元年］,39万5511円/m2,130万7476円/坪,+51.34％
兵庫県,総平均,1990年［平成2年］,53万5530円/m2,177万0347円/坪,+35.40％
静岡県,基準地価平均,2003年［平成15年］,10万0042円/m2,33万0718円/坪,-9.32％
静岡県,基準地価平均,2004年［平成16年］,9万4073円/m2,31万0985円/坪,-5.97％
静岡県,基準地価平均,2005年［平成17年］,9万2079円/m2,30万4394円/坪,-2.12％
静岡県,基準地価平均,2006年［平成18年］,9万1281円/m2,30万1755円/坪,-0.87％
静岡県,基準地価平均,2007年［平成19年］,9万3420円/m2,30万8827円/坪,+2.34％
静岡県,基準地価平均,2008年［平成20年］,9万6076円/m2,31万7607円/坪,+2.84％
静岡県,基準地価平均,2009年［平成21年］,9万2346円/m2,30万5277円/坪,-3.88％
福岡県,総平均,1998年［平成10年］,15万6011円/m2,51万5739円/坪,-5.84％
福岡県,総平均,1999年［平成11年］,15万0823円/m2,49万8589円/坪,-3.33％
福岡県,総平均,2000年［平成12年］,14万1743円/m2,46万8573円/坪,-6.02％
福岡県,総平均,2001年［平成13年］,13万5090円/m2,44万6580円/坪,-4.69％
福岡県,総平均,2002年［平成14年］,12万7394円/m2,42万1138円/坪,-5.70％
福岡県,総平均,2003年［平成15年］,11万9204円/m2,39万4064円/坪,-6.43％
福岡県,総平均,2004年［平成16年］,11万2326円/m2,37万1326円/坪,-5.77％
福岡県,総平均,2005年［平成17年］,10万6226円/m2,35万1161円/坪,-5.43％
広島県,総平均,1999年［平成11年］,19万2932円/m2,63万7792円/坪,-6.52％
広島県,総平均,2000年［平成12年］,17万8898円/m2,59万1401円/坪,-7.27％
広島県,総平均,2001年［平成13年］,16万6771円/m2,55万1309円/坪,-6.78％
広島県,総平均,2002年［平成14年］,15万4840円/m2,51万1869円/坪,-7.15％
広島県,総平均,2003年［平成15年］,14万2208円/m2,47万0109円/坪,-8.16％
広島県,総平均,2004年［平成16年］,13万0844円/m2,43万2544円/坪,-7.99％
広島県,総平均,2005年［平成17年］,12万1474円/m2,40万1569円/坪,-7.16％
埼玉県,総平均,1998年［平成10年］,22万4571円/m2,74万2384円/坪,-7.34％
埼玉県,総平均,1999年［平成11年］,20万4070円/m2,67万4612円/坪,-9.13％
埼玉県,総平均,2000年［平成12年］,18万7738円/m2,62万0622円/坪,-8.00％
埼玉県,総平均,2001年［平成13年］,17万8197円/m2,58万9083円/坪,-5.08％
埼玉県,総平均,2002年［平成14年］,17万2922円/m2,57万1645円/坪,-2.96％
埼玉県,総平均,2003年［平成15年］,16万3601円/m2,54万0832円/坪,-5.39％
埼玉県,総平均,2004年［平成16年］,15万5141円/m2,51万2864円/坪,-5.17％
埼玉県,総平均,2005年［平成17年］,14万9360円/m2,49万3754円/坪,-3.73％
埼玉県,総平均,2006年［平成18年］,14万8318円/m2,49万0307円/坪,-0.70％
千葉県,総平均,2010年［平成22年］,10万9509円/m2,36万2015円/坪,-4.84％
千葉県,総平均,2011年［平成23年］,10万7601円/m2,35万5707円/坪,-1.74％
千葉県,総平均,2012年［平成24年］,10万5915円/m2,35万0132円/坪,-1.57％
千葉県,総平均,2013年［平成25年］,10万4318円/m2,34万4854円/坪,-1.51％
千葉県,総平均,2014年［平成26年］,10万5192円/m2,34万7745円/坪,+0.84％
千葉県,総平均,2015年［平成27年］,10万6341円/m2,35万1542円/坪,+1.09％
兵庫県,総平均,1991年［平成3年］,53万6270円/m2,177万2795円/坪,+0.14％
兵庫県,総平均,1992年［平成4年］,42万6601円/m2,141万0252円/坪,-20.45％
兵庫県,総平均,1993年［平成5年］,33万7391円/m2,111万5344円/坪,-20.91％
兵庫県,総平均,1994年［平成6年］,28万7022円/m2,94万8834円/坪,-14.93％
兵庫県,総平均,1995年［平成7年］,26万4701円/m2,87万5045円/坪,-7.78％
兵庫県,総平均,1996年［平成8年］,24万5865円/m2,81万2777円/坪,-7.12％
兵庫県,総平均,1997年［平成9年］,23万8122円/m2,78万7181円/坪,-3.15％
静岡県,基準地価平均,2010年［平成22年］,8万9840円/m2,29万6992円/坪,-2.71％
静岡県,基準地価平均,2011年［平成23年］,8万7536円/m2,28万9375円/坪,-2.56％
静岡県,基準地価平均,2012年［平成24年］,8万7358円/m2,28万8787円/坪,-0.20％
静岡県,基準地価平均,2013年［平成25年］,8万6263円/m2,28万5167円/坪,-1.25％
静岡県,基準地価平均,2014年［平成26年］,8万5347円/m2,28万2138円/坪,-1.06％
静岡県,基準地価平均,2015年［平成27年］,8万4910円/m2,28万0695円/坪,-0.51％
静岡県,基準地価平均,2016年［平成28年］,8万4163円/m2,27万8226円/坪,-0.88％
福岡県,総平均,2006年［平成18年］,10万5173円/m2,34万7680円/坪,-0.99％
福岡県,総平均,2007年［平成19年］,11万2495円/m2,37万1884円/坪,+6.96％
福岡県,総平均,2008年［平成20年］,11万9895円/m2,39万6347円/坪,+6.58％
福岡県,総平均,2009年［平成21年］,10万8476円/m2,35万8601円/坪,-9.52％
福岡県,総平均,2010年［平成22年］,10万0461円/m2,33万2104円/坪,-7.39％
福岡県,総平均,2011年［平成23年］,9万8054円/m2,32万4148円/坪,-2.40％
福岡県,総平均,2012年［平成24年］,9万7038円/m2,32万0788円/坪,-1.04％
広島県,総平均,2006年［平成18年］,11万7615円/m2,38万8812円/坪,-3.18％
広島県,総平均,2007年［平成19年］,11万8773円/m2,39万2639円/坪,+0.98％
広島県,総平均,2008年［平成20年］,11万9715円/m2,39万5754円/坪,+0.79％
広島県,総平均,2009年［平成21年］,11万6471円/m2,38万5028円/坪,-2.71％
広島県,総平均,2010年［平成22年］,11万3584円/m2,37万5485円/坪,-2.48％
広島県,総平均,2011年［平成23年］,10万9092円/m2,36万0634円/坪,-3.96％
広島県,総平均,2012年［平成24年］,10万5670円/m2,34万9325円/坪,-3.14％
広島県,総平均,2013年［平成25年］,10万4296円/m2,34万4782円/坪,-1.30％
埼玉県,総平均,2007年［平成19年］,15万2246円/m2,50万3293円/坪,+2.65％
埼玉県,総平均,2008年［平成20年］,16万0117円/m2,52万9312円/坪,+5.17％
埼玉県,総平均,2009年［平成21年］,15万1951円/m2,50万2318円/坪,-5.10％
埼玉県,総平均,2010年［平成22年］,14万4232円/m2,47万6800円/坪,-5.08％
埼玉県,総平均,2011年［平成23年］,14万0626円/m2,46万4879円/坪,-2.50％
埼玉県,総平均,2012年［平成24年］,13万7991円/m2,45万6171円/坪,-1.87％
埼玉県,総平均,2013年［平成25年］,13万6888円/m2,45万2525円/坪,-0.80％
埼玉県,総平均,2014年［平成26年］,13万8184円/m2,45万6808円/坪,+0.95％
千葉県,総平均,2016年［平成28年］,10万7160円/m2,35万4248円/坪,+0.77％
千葉県,公示地価平均,1983年［昭和58年］,13万0173円/m2,43万0324円/坪,
千葉県,公示地価平均,1984年［昭和59年］,13万2182円/m2,43万6965円/坪,+1.54％
千葉県,公示地価平均,1985年［昭和60年］,14万4557円/m2,47万7877円/坪,+9.36％
千葉県,公示地価平均,1986年［昭和61年］,15万2416円/m2,50万3856円/坪,+5.44％
千葉県,公示地価平均,1987年［昭和62年］,20万1526円/m2,66万6203円/坪,+32.22％
兵庫県,総平均,1998年［平成10年］,23万0379円/m2,76万1586円/坪,-3.25％
兵庫県,総平均,1999年［平成11年］,21万7511円/m2,71万9046円/坪,-5.59％
兵庫県,総平均,2000年［平成12年］,20万1055円/m2,66万4647円/坪,-7.57％
兵庫県,総平均,2001年［平成13年］,18万3389円/m2,60万6245円/坪,-8.79％
兵庫県,総平均,2002年［平成14年］,16万4631円/m2,54万4234円/坪,-10.23％
兵庫県,総平均,2003年［平成15年］,14万9939円/m2,49万5669円/坪,-8.92％
兵庫県,総平均,2004年［平成16年］,13万8736円/m2,45万8632円/坪,-7.47％
福岡県,総平均,2013年［平成25年］,9万6795円/m2,31万9984円/坪,-0.25％
福岡県,総平均,2014年［平成26年］,9万7403円/m2,32万1995円/坪,+0.63％
福岡県,総平均,2015年［平成27年］,9万9645円/m2,32万9408円/坪,+2.30％
福岡県,総平均,2016年［平成28年］,10万3895円/m2,34万3455円/坪,+4.26％
福岡県,公示地価平均,1983年［昭和58年］,9万8061円/m2,32万4171円/坪,
福岡県,公示地価平均,1984年［昭和59年］,9万9069円/m2,32万7501円/坪,+1.03％
福岡県,公示地価平均,1985年［昭和60年］,10万0407円/m2,33万1925円/坪,+1.35％
広島県,総平均,2014年［平成26年］,10万3915円/m2,34万3521円/坪,-0.37％
広島県,総平均,2015年［平成27年］,10万4123円/m2,34万4208円/坪,+0.20％
広島県,総平均,2016年［平成28年］,10万6529円/m2,35万2163円/坪,+2.31％
広島県,公示地価平均,1983年［昭和58年］,15万4013円/m2,50万9134円/坪,
