prefecture,type,year,land_price,ping_unit_price,change
岡山県,総平均,2011年［平成23年］,5万4714円/m2,18万0875円/坪,-3.38％
岡山県,総平均,2012年［平成24年］,5万3236円/m2,17万5987円/坪,-2.70％
岡山県,総平均,2013年［平成25年］,5万2681円/m2,17万4152円/坪,-1.04％
岡山県,総平均,2014年［平成26年］,5万2481円/m2,17万3493円/坪,-0.38％
岡山県,総平均,2015年［平成27年］,5万2635円/m2,17万4002円/坪,+0.29％
熊本県,総平均,1983年［昭和58年］,3万0460円/m2,10万0695円/坪,
愛媛県,総平均,1983年［昭和58年］,6万4668円/m2,21万3781円/坪,
沖縄県,総平均,1991年［平成3年］,19万9353円/m2,65万9021円/坪,+60.78％
沖縄県,総平均,1992年［平成4年］,18万4993円/m2,61万1549円/坪,-7.20％
沖縄県,総平均,1993年［平成5年］,17万0220円/m2,56万2710円/坪,-7.99％
沖縄県,総平均,1994年［平成6年］,15万3902円/m2,50万8770円/坪,-9.59％
沖縄県,総平均,1995年［平成7年］,13万9408円/m2,46万0855円/坪,-9.42％
沖縄県,総平均,1996年［平成8年］,13万2682円/m2,43万8619円/坪,-4.82％
沖縄県,総平均,1997年［平成9年］,12万7028円/m2,41万9929円/坪,-4.26％
沖縄県,総平均,1998年［平成10年］,12万1650円/m2,40万2151円/坪,-4.23％
石川県,総平均,1984年［昭和59年］,9万5791円/m2,31万6666円/坪,+2.90％
石川県,総平均,1985年［昭和60年］,9万6441円/m2,31万8816円/坪,+0.68％
石川県,総平均,1986年［昭和61年］,10万0373円/m2,33万1813円/坪,+4.08％
石川県,総平均,1987年［昭和62年］,10万4208円/m2,34万4491円/坪,+3.82％
石川県,総平均,1988年［昭和63年］,11万7043円/m2,38万6919円/坪,+12.32％
石川県,総平均,1989年［平成元年］,14万3007円/m2,47万2752円/坪,+22.18％
岡山県,総平均,2016年［平成28年］,5万2927円/m2,17万4966円/坪,+0.55％
岡山県,公示地価平均,1983年［昭和58年］,8万0407円/m2,26万5810円/坪,
岡山県,公示地価平均,1984年［昭和59年］,8万2711円/m2,27万3426円/坪,+2.87％
岡山県,公示地価平均,1985年［昭和60年］,8万1191円/m2,26万8400円/坪,-1.84％
岡山県,公示地価平均,1986年［昭和61年］,8万2912円/m2,27万4090円/坪,+2.12％
奈良県,総平均,1983年［昭和58年］,10万2502円/m2,33万8850円/坪,
熊本県,総平均,1984年［昭和59年］,3万0774円/m2,10万1732円/坪,+1.03％
熊本県,総平均,1985年［昭和60年］,3万0925円/m2,10万2232円/坪,+0.49％
熊本県,総平均,1986年［昭和61年］,3万1530円/m2,10万4233円/坪,+1.96％
熊本県,総平均,1987年［昭和62年］,3万7316円/m2,12万3360円/坪,+18.35％
熊本県,総平均,1988年［昭和63年］,12万4015円/m2,40万9968円/坪,+232.33％
熊本県,総平均,1989年［平成元年］,23万0744円/m2,76万2790円/坪,+86.06％
熊本県,総平均,1990年［平成2年］,27万9592円/m2,92万4272円/坪,+21.17％
愛媛県,総平均,1984年［昭和59年］,6万4606円/m2,21万3575円/坪,-0.10％
愛媛県,総平均,1985年［昭和60年］,6万4797円/m2,21万4206円/坪,+0.30％
愛媛県,総平均,1986年［昭和61年］,6万5249円/m2,21万5700円/坪,+0.70％
愛媛県,総平均,1987年［昭和62年］,6万5334円/m2,21万5983円/坪,+0.13％
愛媛県,総平均,1988年［昭和63年］,6万6566円/m2,22万0053円/坪,+1.88％
愛媛県,総平均,1989年［平成元年］,8万4515円/m2,27万9390円/坪,+26.96％
沖縄県,総平均,1999年［平成11年］,11万3623円/m2,37万5614円/坪,-6.60％
沖縄県,総平均,2000年［平成12年］,10万6044円/m2,35万0560円/坪,-6.67％
沖縄県,総平均,2001年［平成13年］,9万9815円/m2,32万9969円/坪,-5.87％
沖縄県,総平均,2002年［平成14年］,9万4467円/m2,31万2287円/坪,-5.36％
沖縄県,総平均,2003年［平成15年］,8万8147円/m2,29万1398円/坪,-6.69％
沖縄県,総平均,2004年［平成16年］,8万3633円/m2,27万6473円/坪,-5.12％
沖縄県,総平均,2005年［平成17年］,7万9145円/m2,26万1636円/坪,-5.37％
石川県,総平均,1990年［平成2年］,22万7160円/m2,75万0942円/坪,+58.84％
石川県,総平均,1991年［平成3年］,29万3897円/m2,97万1561円/坪,+29.38％
石川県,総平均,1992年［平成4年］,27万5597円/m2,91万1065円/坪,-6.23％
石川県,総平均,1993年［平成5年］,22万9569円/m2,75万8908円/坪,-16.70％
石川県,総平均,1994年［平成6年］,20万1638円/m2,66万6574円/坪,-12.17％
岡山県,公示地価平均,1987年［昭和62年］,8万4192円/m2,27万8323円/坪,+1.54％
岡山県,公示地価平均,1988年［昭和63年］,9万3895円/m2,31万0399円/坪,+11.52％
岡山県,公示地価平均,1989年［平成元年］,14万7398円/m2,48万7266円/坪,+56.98％
岡山県,公示地価平均,1990年［平成2年］,22万5843円/m2,74万6591円/坪,+53.22％
岡山県,公示地価平均,1991年［平成3年］,31万2518円/m2,103万3119円/坪,+38.38％
岡山県,公示地価平均,1992年［平成4年］,29万1350円/m2,96万3141円/坪,-6.77％
岡山県,公示地価平均,1993年［平成5年］,25万9834円/m2,85万8955円/坪,-10.82％
岡山県,公示地価平均,1994年［平成6年］,19万8473円/m2,65万6110円/坪,-23.62％
奈良県,総平均,1984年［昭和59年］,10万6119円/m2,35万0809円/坪,+3.53％
奈良県,総平均,1985年［昭和60年］,11万2515円/m2,37万1953円/坪,+6.03％
奈良県,総平均,1986年［昭和61年］,11万4159円/m2,37万7387円/坪,+1.46％
奈良県,総平均,1987年［昭和62年］,11万7945円/m2,38万9902円/坪,+3.32％
奈良県,総平均,1988年［昭和63年］,13万3456円/m2,44万1176円/坪,+13.15％
奈良県,総平均,1989年［平成元年］,20万4362円/m2,67万5579円/坪,+53.13％
奈良県,総平均,1990年［平成2年］,30万9813円/m2,102万4178円/坪,+51.60％
熊本県,総平均,1991年［平成3年］,32万8645円/m2,108万6430円/坪,+17.54％
熊本県,総平均,1992年［平成4年］,28万3445円/m2,93万7010円/坪,-13.75％
熊本県,総平均,1993年［平成5年］,22万5066円/m2,74万4019円/坪,-20.60％
熊本県,総平均,1994年［平成6年］,22万7974円/m2,75万3634円/坪,+1.29％
熊本県,総平均,1995年［平成7年］,19万1365円/m2,63万2612円/坪,-16.06％
熊本県,総平均,1996年［平成8年］,16万9655円/m2,56万0844円/坪,-11.34％
熊本県,総平均,1997年［平成9年］,14万8082円/m2,48万9528円/坪,-12.72％
愛媛県,総平均,1990年［平成2年］,12万8833円/m2,42万5894円/坪,+52.44％
愛媛県,総平均,1991年［平成3年］,17万1350円/m2,56万6446円/坪,+33.00％
愛媛県,総平均,1992年［平成4年］,16万6373円/m2,54万9994円/坪,-2.90％
愛媛県,総平均,1993年［平成5年］,13万8141円/m2,45万6665円/坪,-16.97％
愛媛県,総平均,1994年［平成6年］,14万2578円/m2,47万1334円/坪,+3.21％
愛媛県,総平均,1995年［平成7年］,13万3393円/m2,44万0970円/坪,-6.44％
愛媛県,総平均,1996年［平成8年］,12万3804円/m2,40万9270円/坪,-7.19％
沖縄県,総平均,2006年［平成18年］,7万7300円/m2,25万5537円/坪,-2.33％
沖縄県,総平均,2007年［平成19年］,7万6572円/m2,25万3130円/坪,-0.94％
沖縄県,総平均,2008年［平成20年］,7万6627円/m2,25万3313円/坪,+0.07％
沖縄県,総平均,2009年［平成21年］,7万4789円/m2,24万7236円/坪,-2.40％
沖縄県,総平均,2010年［平成22年］,7万3992円/m2,24万4601円/坪,-1.07％
沖縄県,総平均,2011年［平成23年］,7万3030円/m2,24万1421円/坪,-1.30％
沖縄県,総平均,2012年［平成24年］,7万2985円/m2,24万1275円/坪,-0.06％
沖縄県,総平均,2013年［平成25年］,7万3131円/m2,24万1757円/坪,+0.20％
石川県,総平均,1995年［平成7年］,18万4983円/m2,61万1515円/坪,-8.26％
石川県,総平均,1996年［平成8年］,17万0479円/m2,56万3568円/坪,-7.84％
石川県,総平均,1997年［平成9年］,15万5655円/m2,51万4563円/坪,-8.70％
石川県,総平均,1998年［平成10年］,14万2981円/m2,47万2664円/坪,-8.14％
石川県,総平均,1999年［平成11年］,12万9212円/m2,42万7147円/坪,-9.63％
石川県,総平均,2000年［平成12年］,11万7085円/m2,38万7061円/坪,-9.38％
石川県,総平均,2001年［平成13年］,10万7026円/m2,35万3808円/坪,-8.59％
石川県,総平均,2002年［平成14年］,9万6678円/m2,31万9597円/坪,-9.67％
岡山県,公示地価平均,1995年［平成7年］,17万5208円/m2,57万9201円/坪,-11.72％
岡山県,公示地価平均,1996年［平成8年］,15万2757円/m2,50万4982円/坪,-12.81％
岡山県,公示地価平均,1997年［平成9年］,13万7423円/m2,45万4293円/坪,-10.04％
岡山県,公示地価平均,1998年［平成10年］,12万7464円/m2,42万1371円/坪,-7.25％
岡山県,公示地価平均,1999年［平成11年］,11万8155円/m2,39万0595円/坪,-7.30％
岡山県,公示地価平均,2000年［平成12年］,10万9967円/m2,36万3529円/坪,-6.93％
岡山県,公示地価平均,2001年［平成13年］,10万1363円/m2,33万5086円/坪,-7.82％
岡山県,公示地価平均,2002年［平成14年］,8万8770円/m2,29万3455円/坪,-12.42％
奈良県,総平均,1991年［平成3年］,32万1653円/m2,106万3316円/坪,+3.82％
奈良県,総平均,1992年［平成4年］,27万9282円/m2,92万3249円/坪,-13.17％
奈良県,総平均,1993年［平成5年］,21万1153円/m2,69万8026円/坪,-24.39％
